CompanyName,Year,CapitalExpenditure,TotalRevenue,MarketCap,GrossProfitMargin,EBITDAMargin,RDExpenses,CeesuiteValuation,NonInterestIncomeTotalBank,SellingGeneralAdminExpensesTotal,AdvertisingExpense,ForeignSales,TotalDebtEquity,DividendYield,TotalDebtEbitda,TotalStockBasedCompensation,ExplorationDrillingCost,NetPropertyAndPlant,LongTermInvestments,GrossPropertyPlantAndEquipment,Goodwill,RepurchaseOfCommonStock,ForeignAssets,LTDebtEquity,QuickRatio,WorkingCapital,ReturnOnAssets,ReturnOnEquity,TotalEquity,PER,EV_EBITDA,ReturnOnEquity2
PT Bank Central Asia Tbk,2010,0.0005680424403183023872679045,1844.036498673740053050397878,1.565046140901856763925729443,0,0,0,1.7030097474801061007957559682,354.88307692307692307692307692,821.9748541114058355437665782,52.007639257294429708222811671,3.6285411140583554376657824934,0,0,0,0,0,315.25400530503978779840848806,5821.3322015915119363395225464,627.42822281167108753315649867,0,-3.6682228116710875331564986737,39.519469496021220159151193634,0,0,-16240.758196286472148541114058,0.0002735915119363395225464191,0.0028248275862068965517241379,2955.6172944297082228116710875,19.686216018175936745013619319,0,
PT Bank Central Asia Tbk,2011,0.0006151350150016668518724303,2245.9554394932770307811979109,2.1604446526280697855317257473,0,0,0,2.228517487498610956772974775,881.4130458939882209134348261,980.8656517390821202355817313,68.747638626514057117457495277,3.1626847427491943549283253695,0,0,0,0,0,378.59284364929436604067118569,6618.4728303144793865985109457,758.44038226469607734192688076,0,0,40.889543282586954106011779087,0,0,-20335.665296144016001777975331,0.0003105456161795755083898211,0.0030412379153239248805422825,3790.1815757306367374152683632,19.970867649856302539144570531,0,
PT Bank Central Asia Tbk,2008,0.0003815737739758780086074066,1305.714042824504542797938473,0.9243497275383879708835874821,0,0,0,0.9276815861006322724616120291,366.28967642526964560862865948,577.00292226767971946230274693,0,3.3453057754635779182827692471,0,0,0,0,0,240.67169650921842622602412199,9842.981350618989426704213379,478.52207640401678975612347909,0,-2.3015780245470485096434833431,39.420965942298496360448435258,0,0,-16759.953775038520801232665639,0.0002416555974709101535518835,0.0024774879124382338876786568,2172.2258115934328675415758993,17.78315808513311348973058318,0,
PT Bank Central Asia Tbk,2009,0.0006320546457975210350131186,1313.7614222383063421695467294,0.5911455664525468198679091649,0,0,0,0.4981469636297837691124581562,416.11607708314484755270062426,564.08305437437799692391206007,43.136704966977291233149371211,2.6392834524563466932054645798,0,0,0,0,0,239.28209535872613770017189903,8119.122681624898217678458337,467.04541753370125757712838143,0,-55.875237492083597213426219126,39.559395639192979281642992853,0,0,-16375.243915679001176151271148,0.0002254501040441509092554058,0.0023905365059259929430923731,2106.1530806115986609970143852,13.076598970350263385282106265,0,
PT Bank Central Asia Tbk,2001,0.0008069229250449439369849633,331.3472449626419760783946961,0.0522490226642142344982386133,0,0,0,0.0563957727239662894493458449,95.77700096642454094834304954,166.15852583886689320489239434,1.3497774106057299622782679178,0,0,0,0,0,0,213.37676445220355186997952843,6206.8556745747212436740759215,289.94644459685548316031216552,0,0,0,0,0,-7599.2570714218910746017395642,0.0001944383826417682451600835,0.0030887447911795575230435099,728.00832527979549209714125386,2.8997281886991909975139706734,0,
PT Bank Central Asia Tbk,2003,0.0005377715877437325905292479,728.24802228412256267409470752,0.1656444676323119777158774373,0,0,0,0.210604166016713091922005571,137.20779944289693593314763231,337.8573816155988857938718663,0,0,0,0,0,0,0,230.83543175487465181058495822,5561.9827298050139275766016713,332.08690807799442896935933148,0,0,0,0,0,-6928.4083565459610027855153203,0.0002568467966573816155988858,0.0026612590529247910863509749,1282.2900278551532033426183844,5.2088450678955221061776426373,0,
PT Bank Central Asia Tbk,2002,0.0004484206279060830803519963,529.18312646505014794604772701,0.1495369039887791568996656804,0,0,0,0.2057613256542289513123006571,97.08584713522653037697421512,220.2604426853168351074049879,0,16.447661683895015947431118626,0,0,0,0,0,209.19350190216347077585213081,5607.4297736617607501056757484,268.3365676516927333512661876,0,0,115.55748760711678130884217807,0,0,-6264.5241709257195557775813703,0.0003005706490412327556392422,0.0035718114744648964377665911,938.9584213964569803635245744,4.9086638435838799269163850477,0,
PT Bank Central Asia Tbk,2005,0.0005525733110115029432413458,882.8855646162985364799913593,0.4781069293082032726683588054,0,0,0,0.5343849694874979748339363828,224.96181886914727007614624399,377.9664092455581357671329049,0,3.8791380893233245126100340228,0,0,0,2.9054382459361667656747853324,0,209.01344710266241831830210077,9388.544796673327212831452179,364.78252416698169249878490036,0,0,32.480963439001998163849435654,0,0,-12518.72700761462439920073446,0.0002444132418858346384403521,0.0025997947831722201220500081,1504.1735702327590862450720959,13.090896598601561421797002648,0,
PT Bank Central Asia Tbk,2004,0.0003866770844431816836547454,787.37578577263202755975423518,0.3035675450746410010536160339,0,0,0,0.3806427637887559043932237099,195.48910276899764416190171775,388.49617028329249091404150537,0,7.2729102295462348024765895988,0,0,0,0,0,223.56915391080962697257046797,10085.303950468208024055593044,364.83929395887345953048975388,0,0,107.36832759171786767056149448,0,0,-12373.532454925358998946383966,0.0002259236897870275005623232,0.0023456097358856885795124954,1494.7403250819807981437416391,9.18665454408569319343916716,0,
PT Bank Central Asia Tbk,2007,0.0005620433070426934704760205,1249.3983645511440332890817613,0.7636979000211961311482725153,0,0,0,0.8955088119010698468300628075,308.06680128069255569562355671,524.63224712457747185934693604,0,2.9431385892301342049777440623,0,0,0,4.3820212184428652706969064804,0,247.88049844375773937683374424,8635.824696839545287207577059,461.87630384096208123696159038,0,-21.307243498923459654837738038,40.532469126161603766217829293,0,0,-13855.329599839355637613092516,0.0002895056839099052867613427,0.0027910396144535302714220373,2015.723290085788551858008233,14.763801190376298821597231192,0,
