CompanyName,Year,CapitalExpenditure,TotalRevenue,MarketCap,GrossProfitMargin,EBITDAMargin,RDExpenses,CeesuiteValuation,NonInterestIncomeTotalBank,SellingGeneralAdminExpensesTotal,AdvertisingExpense,ForeignSales,TotalDebtEquity,DividendYield,TotalDebtEbitda,TotalStockBasedCompensation,ExplorationDrillingCost,NetPropertyAndPlant,LongTermInvestments,GrossPropertyPlantAndEquipment,Goodwill,RepurchaseOfCommonStock,ForeignAssets,LTDebtEquity,QuickRatio,WorkingCapital,ReturnOnAssets,ReturnOnEquity,TotalEquity,PER,EV_EBITDA,ReturnOnEquity2
Microsoft Corporation,1999,3.5071,17935,452329.763328,81.4273,52.5229,2773,130748.89,0,3126,732,5200,0,0,0,0,0,1495,6262,3052,0,-1644,287,0,2.846473,14338,22.7585,36.424,22578,71.121031969811320754716981132,46.079911181316348195329087049,
Microsoft Corporation,2014,6.8162,83433,340246.67676,71.4069,39.0265,10938,311619.12,0,19918,2600,36505,27.8777,0,0.728601,2426,0,11567,14607,25253,14680,-6371,11114,24.2961,2.937614,73128,12.7207,28.9479,85100,14.908714256419244588554903164,8.62490945486932219526427321,
Microsoft Corporation,2012,3.1005,72052,270644.318605,76.3781,41.1647,9362,301102.3372,0,18593,1900,31935,19.9669,0,0.431658,2218,0,8010,7550,18556,19670,-5080,2989,18.6085,2.535529,47140,16.5467,41.683,64121,11.532483322183398670530083518,7.8474820837828725556304787593,
Microsoft Corporation,2013,3.9819,72930,239602.488225,75.353,39.5817,10099,314384.9618,0,19018,1600,34877,19.5904,0,0.492534,2317,0,8698,10707,20471,14727,-5343,10810,16.4613,2.582732,57664,13.4055,22.6179,72576,15.499222991461284688530952843,6.4337301494786434336785949354,
Microsoft Corporation,2000,3.2624,21855,553015.6032,86.9823,53.3013,3315,729508.5306,0,4787,804,6000,0,0,0,0,0,1739,19801,3516,0,-7030,154,0,2.011329,11516,18.0524,30.598,34589,63.230688680539675280128058541,45.941505983346209975105159241,
Microsoft Corporation,2001,4.311,23776,291779.264,86.4443,50.3406,4007,53543.28949,0,5289,1230,7300,0,0,0,0,0,2098,18281,4314,0,-3269,126,0,3.224103,25391,13.6901,24.6855,46422,30.317878636741479634247714048,22.131361350154565962068677417,
Microsoft Corporation,2002,3.3821,26847,326639.299665,84.3781,46.7128,4490,134831.2188,0,6676,1020,7500,0,0,0,0,0,2240,12212,5275,1511,-4115,154,0,3.745482,36421,11.6663,12.416,51548,53.705902608516935218678066426,22.997392525715652659277569572,
Microsoft Corporation,2003,2.8715,30785,259080.55506,79.7173,43.1638,5472,211340.8334,0,6766,1130,8299,0,0,0,2106,0,2257,12647,5891,2757,-9236,220,0,3.548358,39314,11.1645,15.2179,55812,31.715088145427836944546456115,16.229421663154726068633353402,
Microsoft Corporation,2006,2.4033,41359,281170.97049,84.9053,44.4111,6252,131823.3778,0,11554,995,14361,0,0,0,2130,0,2452,9095,6375,3553,-17284,648,0,2.535319,29947,16.3674,28.5586,44208,21.534117369227234433637129509,13.418443515352787456445993031,
Microsoft Corporation,2007,4.4075,46057,272911.79118,79.4298,38.7715,6901,263562.7482,0,12964,1200,16325,0,0,0,1630,0,3686,9631,7223,4189,-22136,788,0,1.633805,22965,15.6385,29.4624,36634,22.916432209253505751952304979,13.804770744245953967631741054,
